10117624	40.72097	-73.9548	250	Brooklyn	Williamsburg	1	f	1	0.0
10117636	40.71975	-73.95964	149	Brooklyn	Williamsburg	2	f	1	91.0
10118660	40.72288	-73.99466	124	Manhattan	Nolita	8	f	1	76.0
10118847	40.83871	-73.9468	58	Manhattan	Washington Heights	1	f	2	92.0
10119376	40.72152	-73.99476	159	Manhattan	Nolita	8	f	1	93.0
10120021	40.73046	-73.98643	250	Manhattan	East Village	1	f	2	100.0
10120414	40.72063	-73.98944	150	Manhattan	Lower East Side	1	f	1	0.0
10122449	40.74441	-73.99915	250	Manhattan	Chelsea	1	f	4	98.0
10123090	40.76372	-73.97692	0	Manhattan	Midtown	1	f	4	95.0
10124343	40.69508	-73.94856	58	Brooklyn	Bedford-Stuyvesant	4	f	1	94.0
10124372	40.68353	-73.94877	199	Brooklyn	Bedford-Stuyvesant	1	t	4	99.0
10125213	40.80197	-73.93888	55	Manhattan	East Harlem	1	f	1	0.0
10125955	40.70987	-73.95392	95	Brooklyn	Williamsburg	1	f	2	98.0
10126128	40.83379	-73.94141	36	Manhattan	Washington Heights	3	f	1	92.0
10127534	40.73182	-74.01	165	Manhattan	West Village	1	f	2	95.0
10130342	40.69566	-73.95001	72	Brooklyn	Bedford-Stuyvesant	4	f	1	94.0
10130925	40.80057	-73.95468	179	Manhattan	Harlem	5	f	1	70.0
10130963	40.79945	-73.95411	209	Manhattan	Harlem	5	f	2	60.0
10131082	40.79865	-73.95295	149	Manhattan	Harlem	5	f	1	0.0
10132356	40.80926	-73.95455	150	Manhattan	Harlem	1	t	2	99.0
10133128	40.71351	-73.95117	375	Brooklyn	Williamsburg	3	f	4	100.0
10133195	40.74157	-73.88389	65	Queens	Elmhurst	1	f	3	80.0
10133350	40.7664	-73.95854	275	Manhattan	Upper East Side	2	f	1	90.0
10133534	40.7178	-73.98504	110	Manhattan	Lower East Side	1	f	1	100.0
10134285	40.71615	-73.99539	99	Manhattan	Chinatown	1	f	1	91.0
10134298	40.73375	-73.98474	85	Manhattan	Gramercy	2	f	1	100.0
10134546	40.79933	-73.95296	189	Manhattan	Harlem	5	f	2	90.0
10134557	40.72423	-73.98327	0	Manhattan	East Village	3	f	1	0.0
10135104	40.82774	-73.94983	75	Manhattan	Harlem	3	f	2	94.0
10136508	40.77575	-73.91419	45	Queens	Ditmars Steinway	1	f	1	100.0
10136634	40.72308	-73.95071	75	Brooklyn	Greenpoint	1	f	1	0.0
10136994	40.72435	-73.98461	125	Manhattan	East Village	1	f	1	90.0
10137048	40.7937	-73.9652	150	Manhattan	Upper West Side	1	f	1	0.0
10138349	40.68358	-73.98127	71	Brooklyn	Boerum Hill	1	t	1	96.0
10138784	40.74953	-73.88025	46	Queens	Jackson Heights	1	t	1	99.0
